200,6123456789,E1B1,E1,E1,,1236594,KWH,30,
300,20200101,.006,.181,.2,.244,.544,.256,.631,.181,.194,.194,.169,.125,.031,0,0,.006,.006,.006,.006,0,0,.006,0,.006,0,0,.006,.006,0,0,0,0,.006,.013,.113,.019,.037,.013,0,.006,0,.006,0,0,.006,.1,.344,.45,A,,,20200102012436,
300,20200102,4.175,4.162,4.169,4.156,4.112,2.362,.206,.206,.212,.206,.194,.144,.037,.006,0,.013,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,.019,.013,.006,.006,.019,.1,.006,.006,0,.006,0,A,,,20200103011914,
300,20200103,.006,.194,.194,.194,.2,.2,.188,.194,.181,.181,.163,.119,.031,0,.006,.013,0,0,0,.006,0,0,0,0,0,0,0,.113,.006,0,.013,0,.006,0,0,.006,0,.006,.006,.006,.006,.444,.581,.725,.669,.563,.594,.537,A,,,20200104011226,
300,20200104,.269,.212,.375,.4,.375,.35,.306,.188,.188,.194,.25,.463,.125,.006,0,.006,0,.013,0,0,0,0,0,0,0,.006,0,0,0,.025,0,0,0,0,0,0,.013,.006,0,.006,0,.006,0,0,.006,.006,.006,.006,A,,,20200105011414,
300,20200105,0,0,.006,0,.175,.156,.188,.194,.188,.188,.181,.156,.156,.125,.069,.106,.081,.05,.081,.069,.006,0,0,0,.019,.013,0,.006,.006,.006,.006,.006,.006,.019,.013,.006,.006,0,.025,0,.013,.006,.087,.344,.287,.275,.35,.444,A,,,20200106012835,
300,20200106,4.112,4.131,4.088,4.088,4.094,4.094,4.075,.175,.175,.175,.175,.175,.169,.156,.131,.15,.087,.069,.094,.013,.025,0,.006,0,.006,.013,.006,0,.006,0,.006,0,.106,.169,.194,.481,.487,.362,.469,.319,.375,.556,.444,.412,.338,.381,.431,.294,A,,,20200107011443,
300,20200107,.212,.206,.2,.237,.2,.212,.194,.181,.181,.181,.181,.125,.131,.056,.019,0,.019,0,.013,.006,0,.006,.006,0,.006,0,.087,.006,0,0,.006,.006,0,.006,0,.013,0,.013,0,.006,.094,.438,.412,.406,.375,.375,.475,.325,A,,,20200108011712,
300,20200108,.244,.2,.194,.194,.2,.2,.194,.194,.188,.188,.175,.15,.1,.037,.013,.013,.013,0,.013,0,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,.006,.006,.013,.006,0,.006,.087,.006,.006,0,.394,.438,A,,,20200109012145,
300,20200109,4.256,4.338,4.231,4.156,4.088,4.119,4.094,4.081,4.081,4.081,1.681,.138,.094,0,0,.013,.006,0,0,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,0,.006,.006,.006,.006,0,.269,.7,.775,.931,.956,.825,.475,A,,,20200110012445,
300,20200110,.356,.35,.275,.206,.2,.188,.194,.188,.194,.188,.175,.125,.044,.025,.013,.006,.006,.013,.006,0,.006,0,0,0,0,0,0,.006,.013,.013,.006,0,.006,.006,0,.006,0,0,.006,.006,0,.006,0,.006,0,.156,.356,.406,A,,,20200111012858,
300,20200111,.35,.281,.275,.231,.237,.194,.188,.188,.181,.181,.181,.163,.144,.113,.037,.219,.031,0,.006,0,.006,.006,0,.006,.006,0,0,0,0,0,0,0,.006,0,0,0,.006,.006,.031,0,.006,0,.006,0,.006,0,.006,.006,A,,,20200112011654,
300,20200112,3.625,4.156,4.131,4.119,4.106,4.106,4.094,3.763,.188,.425,.188,.325,.031,.006,.006,.006,.006,.006,0,.006,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,.013,.006,0,.006,.063,.025,.006,.006,.031,.006,0,A,,,20200113012002,
300,20200113,.006,0,.006,.25,.188,.206,.188,.188,.194,.188,.2,.15,.037,0,0,.019,0,.006,0,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,.013,.006,.006,.075,.263,.244,.419,.787,.794,.906,.794,.744,.388,A,,,20200114013023,
300,20200114,.319,.3,.281,.225,.206,.206,.194,.2,.2,.194,.188,.15,.081,.037,.006,.025,.006,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.019,.006,.081,.056,.031,.494,1.188,1.038,.75,.806,.781,.606,.55,.519,A,,,20200115011248,
300,20200115,4.237,4.244,4.162,4.175,4.2,4.05,4.044,4.044,4.031,4.056,.981,.15,.113,.025,.013,.013,0,.006,0,.006,0,0,0,0,0,0,0,0,0,.006,.006,.006,0,0,.006,.013,0,0,.006,0,.006,0,.006,.662,.794,.581,.506,.4,A,,,20200116012936,
300,20200116,.344,.35,.331,.231,.181,.188,.181,.175,.181,.188,.194,.194,.219,.144,.175,.175,.194,.156,.006,0,.013,0,.006,0,0,0,.006,0,0,0,0,0,0,0,.006,0,0,.013,.006,0,0,.031,.006,0,.006,.075,.1,.025,A,,,20200117012745,
300,20200117,0,0,.006,0,.188,.081,.206,.2,.194,.194,.194,.144,.063,.094,.006,.013,.006,.013,.006,0,0,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.019,.006,0,.006,.063,.006,.006,.025,.006,.006,.006,0,A,,,20200118012753,
300,20200118,3.15,4.162,4.088,4.094,4.037,4.088,4.075,4.075,4.063,4.069,4.069,4.031,.094,0,.006,0,.006,.006,0,0,0,0,0,0,.006,0,0,0,0,0,0,0,0,0,.013,0,0,.013,.006,.006,0,.006,.006,0,.294,.475,.494,.481,A,,,20200119012154,
