200,6408091979,E1B1,E1,E1,,1236594,KWH,30,
300,20190331,.225,.212,.206,.125,.138,.144,.119,.131,.125,.125,.131,.119,.131,.113,.025,.006,0,.019,.013,0,0,0,0,0,0,.006,0,0,0,0,0,0,0,0,.019,0,0,0,0,.1,0,0,0,0,0,0,.006,0,A,,,20190401014356,
300,20190401,0,0,0,.006,.131,0,0,0,0,0,.019,.138,.138,.15,.181,.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,.044,.019,0,0,.113,0,0,0,.069,.063,.075,.006,0,A,,,20190402020046,
300,20190402,0,0,0,.075,.15,.194,.225,.144,.156,.15,.144,.138,.138,.125,.119,.094,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,.006,.025,.006,0,0,0,0,0,0,.087,.006,.1,.044,A,,,20190403020042,
300,20190403,0,.044,.156,.144,.144,.156,.131,.138,.15,.125,.144,.138,.138,.131,.163,.025,.006,0,0,0,0,0,0,0,0,0,0,.006,0,0,0,0,.013,.019,0,.006,0,.006,0,0,0,0,0,0,.006,0,.006,0,A,,,20190404015214,
300,20190404,0,0,0,0,.131,.037,.156,.15,.144,.138,.144,.15,.131,.138,.206,.056,0,0,0,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.025,0,0,.019,.056,0,.006,0,0,0,0,.131,.044,.269,A,,,20190405061143,
300,20190405,.044,.219,.163,.15,.163,.156,.125,.144,.144,.144,.131,.138,.144,.125,.106,.019,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.013,0,0,0,0,0,0,0,0,0,0,0,0,0,A,,,20190406020808,
300,20190406,0,0,0,.025,.225,0,0,0,0,0,0,.006,0,0,0,0,0,.006,0,.006,.013,.006,.013,0,0,0,0,0,.019,0,.013,0,0,.006,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,A,,,20190407021150,
300,20190407,0,0,0,.006,0,0,.131,0,0,.069,.138,.15,.144,.131,.069,0,0,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.019,.006,0,0,.087,0,.013,.006,.006,0,0,0,0,.087,0,A,,,20190408014559,
300,20190408,.369,.194,.188,.287,.163,.15,.15,.156,.144,.144,.125,.119,.131,.119,.037,0,.013,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,.013,.006,0,.019,.013,.013,0,.037,0,.006,.119,0,0,0,.006,A,,,20190409020355,
300,20190409,.294,.287,.294,.306,.275,.331,.225,.237,.225,.219,.2,.212,.206,.2,.125,0,.019,.006,0,.006,.006,0,.006,0,0,0,0,0,0,0,0,0,0,.019,0,0,.019,.013,.006,.006,.019,0,0,0,0,0,0,0,A,,,20190410020544,
300,20190410,.269,.581,.256,.681,.2,.194,.212,.2,.194,.2,.181,.2,.206,.181,.188,.125,.044,.006,0,0,0,0,0,.006,0,0,0,0,.013,0,0,0,.006,0,0,0,0,0,0,0,0,0,0,0,.037,.3,.281,.256,A,,,20190411020421,
300,20190411,.275,.275,.212,.212,.219,.206,.212,.219,.194,.206,.219,.188,.212,.194,.069,0,.019,.013,.013,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.013,0,.006,0,.013,0,.05,.231,0,.006,.006,.044,.325,.613,A,,,20190412011916,
300,20190412,.394,.762,.425,.188,.194,.188,.2,.2,.194,.194,.194,.181,.181,.175,.094,.006,.019,.006,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,.006,0,0,.006,0,.006,.006,0,.025,0,.006,.006,.006,A,,,20190413015632,
300,20190413,0,0,.006,0,0,.006,.156,.037,.188,.188,.169,.169,.175,.175,.125,.044,.05,.013,.013,.156,.013,.013,.006,.006,0,0,0,.006,0,0,0,0,0,0,.006,0,.006,0,0,.006,0,.006,0,.006,.006,.006,.006,.006,A,,,20190414013813,
300,20190414,.006,.006,0,.006,0,.006,.138,.006,0,.119,.169,.15,.169,.188,.181,.044,0,.006,.006,.006,0,.006,0,0,0,0,0,0,0,0,0,.006,0,.013,0,.006,.006,0,.006,.006,0,.006,.006,0,.006,0,.006,0,A,,,20190415013309,
300,20190415,.006,0,.006,.006,.169,.163,.181,.156,.169,.15,.163,.15,.163,.15,.069,.013,.025,.006,0,.013,.006,0,0,.006,0,0,0,0,0,0,0,0,0,.013,.006,.025,.006,.138,.087,.006,.019,.031,.069,.056,.15,.206,.219,.256,A,,,20190416020740,
300,20190416,.25,.275,.169,.175,.169,.156,.163,.3,.175,.188,.181,.181,.169,.194,.119,.031,.044,.013,.006,.006,0,0,0,0,0,0,0,0,0,0,0,0,0,.006,.019,.006,0,.006,.006,.013,0,0,.006,.006,.006,.006,0,0,A,,,20190417014440,
300,20190417,.006,0,.106,.169,.169,.169,.169,.15,.175,.163,.169,.144,.175,.169,.106,0,.013,.013,0,.006,0,0,0,0,0,0,0,0,0,0,0,0,.013,0,.006,.006,.006,.006,.013,.025,0,.006,0,.006,.006,.237,.306,.306,A,,,20190418015341,
300,20190418,.275,.194,0,0,.169,.281,.25,.225,.231,.225,.225,.225,.231,.231,.15,.006,0,.006,.006,.006,0,0,0,0,0,.006,0,0,0,0,.019,0,0,.006,.006,0,0,0,.056,0,.006,0,.006,0,.212,.25,.306,.287,A,,,20190419015654,
300,20190419,.3,.263,.269,.287,.206,.188,.175,.188,.175,.175,.163,.163,.175,.175,.094,.006,0,.006,0,0,.006,.006,0,0,0,0,0,0,0,0,0,0,0,.006,.006,0,.006,.05,.006,0,0,.006,0,.006,.006,.006,.006,.131,A,,,20190420043923,
